año,"2,5 - 3,5","3,5 - 4,5","4,5 - 5,5","5,5 - 6,5","6,5 - 7,5","7,5 - 8,5","8,5 - 9,5","9,5 - 10,5",Total
1900,1,2,1,0,9,4,0,0,17
1901,0,1,1,1,14,2,0,0,19
1902,0,3,4,4,6,4,0,0,21
1903,1,4,4,2,10,2,0,0,23
1904,1,2,5,6,15,2,0,0,31
1905,3,1,13,20,39,7,0,0,83
1906,3,8,5,41,42,8,1,0,108
1907,3,2,12,36,34,5,0,0,92
1908,1,5,4,9,26,0,0,0,45
1909,1,4,12,16,32,5,0,0,70
1910,1,3,9,22,42,3,0,0,80
1911,1,3,5,16,26,6,0,0,57
1912,1,2,25,51,32,2,0,0,113
1913,1,5,4,42,38,4,0,0,94
1914,3,4,7,35,28,4,0,0,81
1915,4,3,8,58,25,3,0,0,101
1916,0,8,10,46,30,2,0,0,96
1917,1,4,27,92,33,4,0,0,161
1918,1,1,11,89,30,5,0,0,137
1919,0,0,11,69,28,4,0,0,112
1920,0,0,8,69,20,4,0,0,101
1921,0,1,4,49,26,2,0,0,82
1922,0,0,7,55,37,2,1,0,102
1923,0,0,11,73,43,3,0,0,130
1924,0,1,11,92,26,2,0,0,132
1925,0,1,16,114,35,0,0,0,166
1926,0,1,28,212,33,1,0,0,275
1927,0,0,43,241,25,1,0,0,310
1928,0,2,48,219,36,5,0,0,310
1929,0,2,41,238,30,3,0,0,314
1930,0,3,69,200,23,1,0,0,296
1931,0,2,41,227,27,7,0,0,304
1932,224,52,53,157,21,5,0,0,512
1933,379,187,79,206,25,2,0,0,878
1934,249,69,64,191,31,5,0,0,609
1935,332,99,43,187,26,4,0,0,691
1936,249,52,54,192,31,2,0,0,580
1937,223,42,44,174,25,2,0,0,510
1938,182,54,56,221,42,10,1,0,566
1939,191,55,41,171,20,7,0,0,485
1940,181,106,45,166,20,5,0,0,523
1941,181,65,37,139,27,4,0,0,453
1942,190,100,18,117,25,5,0,0,455
1943,176,57,11,110,33,7,0,0,394
1944,151,69,12,80,33,3,0,0,348
1945,125,34,12,93,19,2,0,0,285
1946,286,85,20,107,22,6,1,0,527
1947,438,77,28,96,28,5,0,0,672
1948,338,49,37,120,34,2,0,0,580
1949,368,69,27,99,26,5,0,0,594
1950,273,84,34,182,25,6,1,0,605
1951,189,47,37,206,25,3,0,0,507
1952,195,282,88,267,28,2,1,0,863
1953,444,93,38,188,32,2,0,0,797
1954,386,152,93,177,33,1,0,0,842
1955,250,72,43,179,30,1,0,0,575
1956,190,165,129,184,19,2,0,0,689
1957,156,124,41,265,46,5,1,0,638
1958,142,89,53,293,15,4,0,0,596
1959,266,98,97,246,26,1,0,0,734
1960,742,115,14,242,30,5,0,1,1149
